Client ID,Subscription Product,Program Start Date,Date Closed,Status,Client State,Monthly Income,Welcome Call Complete Date
AFFQB276286,0,1/28/2015,1/0/1900,Client,NY,4275,1/9/2015
AFFQB283273,1,3/18/2015,1/0/1900,Client,PA,3800,2/18/2015
AFFQB283544,1,3/15/2015,1/0/1900,Client,TX,2090,2/19/2015
AFFQB297129,1,5/25/2015,1/0/1900,Client,MO,4750,5/4/2015
DSS2723697,0,5/16/2015,1/0/1900,Client,VA,3040,1/0/1900
TAA2633752,0,4/6/2015,1/0/1900,Client,MO,3268,4/13/2015
ALB2618157,1,2/27/2015,1/0/1900,Client,VA,2850,2/26/2015
SZS2614731,1,2/27/2015,1/0/1900,Client,MD,3230,2/19/2015
AFFQB270353,0,1/14/2015,1/0/1900,Client,VA,4750,12/8/2014
AFFQB285702,1,3/20/2015,1/0/1900,Client,TX,1880.05,3/4/2015
AFFQB304580,0,6/18/2015,1/0/1900,Client,VA,4750,6/8/2015
TCM2723664,0,6/19/2015,1/0/1900,Client,TX,2660,5/27/2015
AFFQB301294,1,6/10/2015,1/0/1900,Client,OH,2470,5/19/2015
AFFQB295178,0,4/30/2015,1/0/1900,Client,TX,6175,4/21/2015
JJS2636364,1,4/25/2015,1/0/1900,Client,UT,760,1/0/1900
MMS2665092,0,4/20/2015,1/0/1900,Client,VA,2375,4/13/2015
AFFQB304912,1,6/30/2015,1/0/1900,Client,OH,4750,6/5/2015
AFFQB285475,0,3/28/2015,1/0/1900,Client,MD,4750,3/7/2015
AFFQB299329,1,5/22/2015,1/0/1900,Client,MD,3040,5/9/2015
AFFQB274479,0,1/15/2015,1/0/1900,Client,VA,1615,12/30/2014
AFFQB293830,1,4/30/2015,1/0/1900,Client,VA,2565,4/23/2015
AFFQB294496,0,4/30/2015,1/0/1900,Client,VA,4750,4/23/2015
AFFQB281129,0,2/22/2015,1/0/1900,Client,LA,1900,2/9/2015
AFFQB305364,0,6/20/2015,1/0/1900,Client,TX,3127.4,6/5/2015
BAB2533076,1,1/2/2015,1/0/1900,Client,NY,1520,12/17/2014
AFFQB301177,0,6/18/2015,1/0/1900,Client,MA,2375,5/20/2015
AFFQB281601,1,2/28/2015,1/0/1900,Client,FL,1140,2/10/2015
AFFQB292952,1,5/15/2015,1/0/1900,Client,NC,2090,4/8/2015
AFFQB275863,0,1/26/2015,1/0/1900,Client,SD,3040,1/7/2015
RMT2725822,1,5/22/2015,1/0/1900,Client,NY,3230,5/5/2015
RMT2699289,1,5/1/2015,1/0/1900,Client,UT,1757.5,4/17/2015
AFFQB306291,1,6/26/2015,1/0/1900,Client,MA,950,6/12/2015
ALH2566885,1,1/30/2015,1/0/1900,Client,MO,1710,1/21/2015
DHJ2793556,1,6/26/2015,1/0/1900,Client,PA,1710,6/22/2015
BAB2672265,0,4/15/2015,1/0/1900,Client,CA,1615,4/3/2015
AFFQB292001,1,4/30/2015,1/0/1900,Client,CA,3705,4/6/2015
DCW2695963,1,5/20/2015,1/0/1900,Client,CA,4512.5,4/20/2015
AFFQB289329,1,4/15/2015,1/0/1900,Client,FL,1805,3/27/2015
DIM2618116,0,4/10/2015,1/0/1900,Client,FL,1045,3/18/2015
AFFQB306391,1,6/26/2015,1/0/1900,Client,CA,5700,6/17/2015
AFFQB301016,1,5/25/2015,1/0/1900,Client,AR,1235,5/18/2015
AFFQB296429,0,5/26/2015,1/0/1900,Client,NY,3800,5/27/2015
AFFQB305528,0,6/15/2015,1/0/1900,Client,NY,1463,6/9/2015
GCS2566292,1,1/26/2015,1/0/1900,Client,UT,3515,1/16/2015
TYD2770012,1,6/12/2015,1/0/1900,Client,NY,1304.35,6/3/2015
RTL2611246,0,3/6/2015,1/0/1900,Client,OK,2185,2/17/2015
TLH2748470,0,5/29/2015,1/0/1900,Client,OH,3040,6/3/2015
AFFQB279095,0,2/12/2015,1/0/1900,Client,FL,2755,1/28/2015
JOV2730632,0,5/9/2015,1/0/1900,Client,CA,4750,5/28/2015
AFFQB298009,0,5/30/2015,1/0/1900,Client,IN,1330,5/5/2015
AFFQB294855,0,5/29/2015,1/0/1900,Client,CA,3990,4/22/2015
AFFQB302504,0,6/12/2015,1/0/1900,Client,NC,1805,5/29/2015
DEY2586626,1,2/16/2015,1/0/1900,Client,ID,2470,1/30/2015
AFFQB281979,1,2/27/2015,1/0/1900,Client,MA,2375,2/11/2015
SLM2630325,0,3/14/2015,1/0/1900,Client,VI,1520,3/11/2015
AFFQB281507,1,2/16/2015,1/0/1900,Client,PA,2090,2/9/2015
AFFQB302796,1,6/25/2015,1/0/1900,Client,CA,2077.65,5/28/2015
AFFQB274698,0,1/9/2015,1/0/1900,Client,MA,3325,12/29/2014
DHJ2560960,1,1/25/2015,1/0/1900,Client,PA,1425,1/20/2015
KXH2525764,1,1/9/2015,1/0/1900,Client,NY,1805,12/18/2014
AFFQB280770,0,2/25/2015,1/0/1900,Client,CA,3800,2/5/2015
AFFQB285537,0,3/13/2015,1/0/1900,Client,PA,4275,2/28/2015
AFFQB297447,1,5/15/2015,1/0/1900,Client,CA,2850,4/30/2015
AFFQB286095,1,4/3/2015,1/0/1900,Client,NY,4560,3/20/2015
IEU2677749,0,4/10/2015,1/0/1900,Client,FL,1710,4/4/2015
MXA2686586,0,5/10/2015,1/0/1900,Client,CA,1425,4/9/2015
TJF2737575,0,5/18/2015,1/0/1900,Client,NV,1235,5/14/2015
AFFQB281243,0,2/20/2015,1/0/1900,Client,CA,3325,2/9/2015
AFFQB304250,0,6/15/2015,1/0/1900,Client,PA,1900,6/4/2015
AFFQB276522,0,1/16/2015,1/0/1900,Client,MA,2375,1/12/2015
AFFQB288937,0,3/24/2015,1/0/1900,Client,CA,6333.65,3/19/2015
AFFQB297427,0,5/12/2015,1/0/1900,Client,MI,1710,5/4/2015
CZS2582615,1,3/4/2015,1/0/1900,Client,NY,3237.6,2/24/2015
AFFQB272943,1,1/15/2015,1/0/1900,Client,TX,1187.5,12/15/2014
AFFQB285957,1,4/20/2015,1/0/1900,Client,NY,1615,3/11/2015
AFFQB275667,0,1/12/2015,1/0/1900,Client,OK,4275,1/7/2015
ALB2758453,1,6/14/2015,1/0/1900,Client,PA,2470,6/1/2015
KJM2711874,1,5/14/2015,1/0/1900,Client,AZ,2660,5/5/2015
CZS2708555,1,5/8/2015,1/0/1900,Client,OK,3577.7,4/23/2015
JLS2656911,1,4/12/2015,1/0/1900,Client,NY,4275,3/27/2015
AFFQB299735,1,5/30/2015,1/0/1900,Client,VA,3990,5/12/2015
TLH2594712,1,2/13/2015,1/0/1900,Client,NY,2375,2/13/2015
RMT2593017,1,2/20/2015,1/0/1900,Client,CA,4275,2/5/2015
AFFQB301210,1,5/30/2015,1/0/1900,Client,CA,3166.35,5/18/2015
AFFQB297745,1,6/19/2015,1/0/1900,Client,PA,2090,5/22/2015
DIM2782539,1,6/30/2015,1/0/1900,Client,NY,950,6/26/2015
AFFQB299340,1,5/23/2015,1/0/1900,Client,MO,2280,5/11/2015
FDB2505868,0,1/1/2015,9/25/2015,Completed,AL,2799.65,11/20/2014
AFFQB269091,0,1/1/2015,10/23/2015,Completed,MD,3705,11/19/2014
AFFQB269770,0,1/1/2015,9/9/2015,Completed,PA,2470,11/24/2014
AFFQB269514,0,1/1/2015,12/16/2015,Completed,NV,2375,11/25/2014
AFFQB269925,0,1/7/2015,1/0/1900,Client,FL,2223.95,12/1/2014
AFFQB271699,0,1/20/2015,11/24/2015,Completed,IN,8550,12/10/2014
AFFQB270761,0,1/2/2015,1/0/1900,Client,OH,5795,12/2/2014
KJH2514063,0,1/1/2015,10/5/2015,Completed,PA,3800,12/2/2014
AFFQB269942,0,1/15/2015,1/0/1900,Client,IN,4054.6,12/3/2014
AFFQB271129,0,1/2/2015,10/20/2015,Completed,MI,3705,12/3/2014
AFFQB271006,0,1/15/2015,11/10/2015,Completed,MA,4750,12/3/2014
AFFQB270634,0,1/2/2015,1/0/1900,Client,TX,4845,12/2/2014
AFFQB270752,0,1/6/2015,12/10/2015,Completed,FL,2375,12/2/2014
AFFQB270837,0,1/15/2015,10/20/2015,Completed,PA,3040,12/2/2014
AFFQB270771,0,1/1/2015,1/0/1900,Client,NC,2850,12/4/2014
AFFQB271184,0,1/3/2015,10/20/2015,Completed,IN,5937.5,12/4/2014
AFFQB271143,0,1/1/2015,9/17/2015,Completed,AZ,4560,12/4/2014
AFFQB269625,0,1/5/2015,8/11/2015,Completed,TX,2280,12/4/2014
AFFQB271379,0,1/1/2015,8/27/2015,Completed,NE,4560,12/4/2014
AFFQB271071,0,1/15/2015,12/22/2015,Completed,CA,5320,12/3/2014
AFFQB271277,0,1/5/2015,10/14/2015,Completed,FL,4940,12/4/2014
DLJ2515526,0,1/9/2015,9/21/2015,Completed,OH,2707.5,12/5/2014
CZS2521650,0,1/15/2015,11/16/2015,Completed,VA,1615,12/5/2014
AFFQB271553,0,1/1/2015,10/2/2015,Completed,OH,3325,12/5/2014
AFFQB270320,0,1/5/2015,10/20/2015,Completed,OH,2755,12/5/2014
JRW2522323,1,1/1/2015,1/0/1900,Client,LA,1900,12/6/2014
SZS2524052,0,1/2/2015,1/0/1900,Client,TX,3610,12/8/2014
DLB2522687,1,1/5/2015,1/0/1900,Client,FL,4750,12/8/2014
AFFQB271816,0,1/7/2015,10/28/2015,Completed,TX,1425,12/8/2014
ZAS2521994,0,1/5/2015,12/16/2015,Completed,MO,1425,12/8/2014
AFFQB271876,0,1/15/2015,10/1/2015,Completed,PA,2871.85,12/8/2014
AFFQB266283,0,1/1/2015,12/17/2015,Completed,CA,2667.6,12/8/2014
AFFQB271496,0,1/2/2015,10/20/2015,Completed,AZ,3325,12/8/2014
AFFQB270755,0,1/15/2015,9/25/2015,Completed,MA,2375,12/8/2014
AFFQB271858,0,1/12/2015,10/1/2015,Completed,OK,1835.4,12/8/2014
AFFQB271841,0,1/10/2015,11/23/2015,Completed,MD,5850.1,12/8/2014
AFFQB271352,0,1/10/2015,1/11/2016,Terminated,AZ,3957.7,12/8/2014
AFFQB271764,0,1/20/2015,12/28/2015,Completed,TX,5225,12/8/2014
AFFQB271997,0,1/9/2015,1/0/1900,Client,MA,5130,12/9/2014
ARC2524853,0,1/11/2015,12/3/2015,Completed,OH,1071.6,12/9/2014
AFFQB272047,0,1/15/2015,1/0/1900,Client,MI,2992.5,12/9/2014
AFFQB272089,0,1/12/2015,11/3/2015,Completed,OH,4828.85,12/9/2014
AFFQB272001,0,1/3/2015,10/6/2015,Completed,OH,3135,12/9/2014
DEM2522747,1,1/2/2015,1/0/1900,Client,NC,2470,12/9/2014
AFFQB272060,0,1/1/2015,1/0/1900,Client,AL,3325,12/9/2014
TSC2525139,0,1/5/2015,1/0/1900,Client,UT,3040,12/10/2014
AFFQB272019,0,1/19/2015,11/10/2015,Completed,MI,2850,12/9/2014
AFFQB272173,0,1/9/2015,11/4/2015,Completed,MI,2470,12/10/2014
AFFQB271968,0,1/7/2015,11/4/2015,Completed,NM,2280,12/10/2014
DLB2487548,1,1/9/2015,1/0/1900,Client,TN,8075,12/10/2014
JAW2512123,1,1/9/2015,1/0/1900,Client,CA,2565,12/10/2014
AFFQB271831,0,1/5/2015,1/0/1900,Client,UT,1615,12/10/2014
AFFQB272159,0,1/1/2015,9/23/2015,Completed,TN,3610,12/10/2014
AFFQB271577,0,1/9/2015,9/23/2015,Completed,MI,1615,12/10/2014
AFFQB271754,0,1/3/2015,11/11/2015,Completed,CA,2755,12/10/2014
SMP2527016,0,1/2/2015,1/0/1900,Client,IN,2734.1,12/10/2014
JCV2527659,0,1/2/2015,9/17/2015,Completed,NC,2850,12/11/2014
AFFQB271114,0,1/16/2015,11/5/2015,Completed,OH,3515,12/11/2014
TLH2494083,0,1/16/2015,8/26/2015,Completed,NV,665,12/11/2014
AFFQB272508,0,1/9/2015,10/16/2015,Completed,TX,6080,12/11/2014
AFFQB272559,0,1/5/2015,1/0/1900,Client,OK,950,12/11/2014
AFFQB269953,0,1/5/2015,10/12/2015,Completed,FL,5225,12/9/2014
AFFQB271766,0,1/3/2015,1/0/1900,Client,CA,5415,12/11/2014
AFFQB271975,0,1/2/2015,10/30/2015,Completed,MI,3420,12/11/2014
AFFQB272570,0,1/3/2015,1/0/1900,Client,OH,2470,12/12/2014
AFFQB272106,0,1/15/2015,11/5/2015,Completed,CA,9500,12/12/2014
AFFQB272204,0,1/5/2015,9/2/2015,Completed,MD,4750,12/10/2014
AFFQB272189,0,1/2/2015,10/5/2015,Completed,AZ,5318.1,12/12/2014
AFFQB271896,0,1/3/2015,12/28/2015,Completed,CA,7890.7,12/12/2014
AFFQB272110,0,1/5/2015,1/0/1900,Client,FL,950,12/11/2014
AFFQB272842,0,1/5/2015,9/3/2015,Completed,MD,3990,12/13/2014
AFFQB272794,0,1/2/2015,10/8/2015,Completed,CA,2375,12/15/2014
JLS2501561,0,1/5/2015,1/0/1900,Client,AL,1750.85,12/15/2014
S1L2525978,0,1/9/2015,8/26/2015,Completed,CA,2660,12/13/2014
JXH2476947,0,1/5/2015,12/1/2015,Completed,CA,2470,12/15/2014
AFFQB271985,0,1/13/2015,1/0/1900,Client,OH,4655,12/15/2014
CTH2526979,0,1/2/2015,12/16/2015,Completed,OH,3325,12/12/2014
GAS2527598,0,1/2/2015,11/24/2015,Completed,NC,2470,12/15/2014
PAE2529293,0,1/1/2015,11/24/2015,Completed,CA,1425,12/15/2014
S1L2528120,0,1/2/2015,9/8/2015,Completed,PA,4560,12/15/2014
JLS2530045,0,1/1/2015,10/27/2015,Completed,TX,4247.45,12/15/2014
PJD2526822,0,1/9/2015,9/22/2015,Completed,TX,3135,12/18/2014
AFFQB271116,0,1/15/2015,1/0/1900,Client,MI,4750,12/15/2014
CAK2500916,0,1/10/2015,10/22/2015,Completed,MA,2850,12/22/2014
AFFQB272946,0,1/3/2015,11/11/2015,Completed,FL,4180,12/15/2014
AFFQB272972,0,1/4/2015,10/2/2015,Completed,TX,5890,12/15/2014
ZAS2532275,0,1/1/2015,10/19/2015,Completed,IA,2236.3,12/16/2014
CTH2531150,0,1/3/2015,10/5/2015,Completed,FL,3800,12/15/2014
KJC2530537,0,1/3/2015,11/24/2015,Completed,NM,1043.1,12/16/2014
AFFQB272572,0,1/13/2015,1/0/1900,Client,PA,3230,12/16/2014
AFFQB272231,0,1/20/2015,1/0/1900,Client,MO,2850,12/16/2014
AFFQB273010,0,1/30/2015,12/1/2015,Completed,LA,3657.5,12/15/2014
AFFQB271394,0,1/3/2015,1/0/1900,Client,CA,5040.7,12/16/2014
JOV2528106,0,1/1/2015,10/6/2015,Completed,CA,3800,12/16/2014
DEY2532709,0,1/9/2015,9/22/2015,Completed,NM,570,12/16/2014
AFFQB273352,0,1/5/2015,1/0/1900,Client,TX,5383.65,12/16/2014
PJD2531807,0,1/6/2015,11/12/2015,Completed,TX,4465,12/16/2014
JEM2529446,1,1/12/2015,1/0/1900,Client,AZ,2850,12/16/2014
TAA2532948,0,1/1/2015,11/18/2015,Completed,KY,2280,12/16/2014
AFFQB273115,0,1/5/2015,11/3/2015,Completed,TX,6175,12/16/2014
SLM2512274,1,1/2/2015,1/0/1900,Client,MN,1805,12/18/2014
AFFQB272990,0,1/10/2015,11/11/2015,Completed,FL,2470,12/17/2014
AFFQB273415,0,1/14/2015,1/0/1900,Client,AR,1520,12/17/2014
S1L2477249,0,1/9/2015,1/0/1900,Client,MN,2850,12/22/2014
AFFQB273277,0,1/15/2015,1/0/1900,Client,NC,0.95,12/17/2014
AFFQB273139,0,1/2/2015,8/19/2015,Completed,MD,2945,12/17/2014
ARC2444295,1,1/14/2015,1/0/1900,Client,NC,1974.1,12/17/2014
AFFQB273111,0,1/1/2015,11/10/2015,Completed,AL,3325,12/17/2014
LSM2521481,1,1/9/2015,1/0/1900,Client,NM,3166.35,12/17/2014
AFFQB273487,0,1/3/2015,11/3/2015,Completed,FL,4750,12/17/2014
DJG2526459,0,1/9/2015,12/23/2015,Completed,AL,2375,12/22/2014
DIM2533422,0,1/1/2015,1/0/1900,Client,TN,1465.85,12/18/2014
AFFQB273571,0,1/1/2015,10/30/2015,Completed,AL,3610,12/18/2014
AFFQB273222,0,1/2/2015,12/9/2015,Completed,VA,2299,12/18/2014
AFFQB273651,0,1/7/2015,1/0/1900,Client,CA,4940,12/18/2014
PAE2533603,0,1/1/2015,1/0/1900,Client,NV,4655.95,12/18/2014
AFFQB273200,0,1/9/2015,11/23/2015,Completed,AL,7125,12/18/2014
BBG2530921,0,1/9/2015,1/0/1900,Client,OH,2375,12/26/2014
AFFQB272063,0,1/15/2015,1/0/1900,Client,MA,2453.85,12/18/2014
AFFQB273680,0,1/15/2015,9/21/2015,Completed,MI,3166.35,12/18/2014
AFFQB272129,0,1/1/2015,10/14/2015,Completed,IN,4598,12/18/2014
AFFQB273809,0,1/3/2015,1/0/1900,Client,CA,6935,12/18/2014
RTL2525452,0,1/14/2015,12/11/2015,Completed,MN,1995,12/18/2014
AFFQB273808,0,1/1/2015,10/20/2015,Completed,TX,2945,12/18/2014
PJD2523790,0,1/1/2015,11/16/2015,Completed,NC,2280,12/19/2014
DLB2528157,0,1/1/2015,10/22/2015,Completed,CA,2280,12/18/2014
AFFQB273820,0,1/15/2015,1/0/1900,Client,PA,9500,12/18/2014
MXP2530557,1,1/9/2015,11/11/2015,Terminated,CA,3800,12/17/2014
AFFQB273749,0,1/10/2015,10/9/2015,Completed,MO,2090,12/19/2014
AFFQB273513,0,1/15/2015,1/0/1900,Client,FL,665.95,12/19/2014
AFFQB273844,0,1/3/2015,9/23/2015,Completed,TX,1941.8,12/19/2014
TKC2535087,0,1/7/2015,9/21/2015,Completed,CA,1425,12/19/2014
AFFQB273343,0,1/27/2015,1/0/1900,Client,PA,2375,12/19/2014
RTL2534078,0,1/9/2015,12/9/2015,Completed,LA,2850,12/19/2014
AFFQB273720,0,1/2/2015,9/21/2015,Completed,CA,5885.25,12/19/2014
AFFQB272999,0,1/16/2015,1/0/1900,Client,TX,5225,12/19/2014
AFFQB273964,0,1/16/2015,11/23/2015,Completed,MI,1140,12/19/2014
KJC2535677,0,1/4/2015,1/0/1900,Client,IN,3032.4,12/22/2014
